,"theta=0.1,h=0","theta=0.1,h=1","theta=0.1,h=2","theta=0.1,h=3","theta=0.1,h=4","theta=0.1,h=5","theta=0.1,h=6","theta=0.1,h=7","theta=0.1,h=8","theta=0.1,h=9","theta=0.2,h=0","theta=0.2,h=1","theta=0.2,h=2","theta=0.2,h=3","theta=0.2,h=4","theta=0.2,h=5","theta=0.2,h=6","theta=0.2,h=7","theta=0.2,h=8","theta=0.2,h=9","theta=0.3,h=0","theta=0.3,h=1","theta=0.3,h=2","theta=0.3,h=3","theta=0.3,h=4","theta=0.3,h=5","theta=0.3,h=6","theta=0.3,h=7","theta=0.3,h=8","theta=0.3,h=9","theta=0.4,h=0","theta=0.4,h=1","theta=0.4,h=2","theta=0.4,h=3","theta=0.4,h=4","theta=0.4,h=5","theta=0.4,h=6","theta=0.4,h=7","theta=0.4,h=8","theta=0.4,h=9","theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9"
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
2009,111.9647905,115.9468104,115.9468104,115.9468104,115.9468104,115.9468104,115.9468104,115.9468104,115.9468104,115.9468104,112.9468064,115.9348144,115.9348144,115.9348144,115.9348144,115.9348144,115.9348144,115.9348144,115.9348144,115.9348144,113.9048064,115.9008144,115.9008144,115.9008144,115.9008144,115.9008144,115.9008144,115.9008144,115.9008144,115.9008144,113.9008144,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,113.9008144,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,115.8968224,113.8928304,115.8888384,115.8888384,115.8888384,115.8888384,115.8888384,115.8888384,115.8888384,115.8888384,115.8888384,113.8828504,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.8788583,115.0285589,115.0285589,115.0285589,115.0285589,115.0285589,115.0285589,115.0285589,115.0285589,115.0285589,115.0285589
2010,1.081632615,113.1869355,117.0406771,117.0406771,117.0406771,117.0406771,117.0406771,117.0406771,117.0406771,117.0406771,1.799319657,114.0168675,116.870609,116.870609,116.870609,116.870609,116.870609,116.870609,116.870609,116.870609,1.693877482,114.9080239,116.7651668,116.7651668,116.7651668,116.7651668,116.7651668,116.7651668,116.7651668,116.7651668,1.306122402,114.5202689,116.3774118,116.3774118,116.3774118,116.3774118,116.3774118,116.3774118,116.3774118,116.3774118,1.261904712,114.4760512,116.3331941,116.3331941,116.3331941,116.3331941,116.3331941,116.3331941,116.3331941,116.3331941,1.217687022,114.4318335,116.2889764,116.2889764,116.2889764,116.2889764,116.2889764,116.2889764,116.2889764,116.2889764,1.129251652,114.3433981,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,1.129251652,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,116.200541,1.129251652,114.4862552,114.4862552,114.4862552,114.4862552,114.4862552,114.4862552,114.4862552,114.4862552,114.4862552
2011,2.827090157,3.547429157,114.63189,117.9031477,117.9031477,117.9031477,117.9031477,117.9031477,117.9031477,117.9031477,3.294260157,4.285856796,115.378721,117.6499787,117.6499787,117.6499787,117.6499787,117.6499787,117.6499787,117.6499787,2.645349674,3.636946313,115.4417462,116.4417462,116.4417462,116.4417462,116.4417462,116.4417462,116.4417462,116.4417462,2.35899445,3.350591089,115.1553909,116.1553909,116.1553909,116.1553909,116.1553909,116.1553909,116.1553909,116.1553909,1.92201965,2.913616289,114.7184161,115.7184161,115.7184161,115.7184161,115.7184161,115.7184161,115.7184161,115.7184161,1.68672555,2.678322189,114.483122,115.483122,115.483122,115.483122,115.483122,115.483122,115.483122,115.483122,0.99764995,1.989246589,113.7940464,114.7940464,114.7940464,114.7940464,114.7940464,114.7940464,114.7940464,114.7940464,0.99764995,1.989246589,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,1.989246589,1.989246589,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449,112.4850449
2012,1.3125,3.25,4.1875,114.625,117.625,117.625,117.625,117.625,117.625,117.625,1.125,4,5,115.4375,117.4375,117.4375,117.4375,117.4375,117.4375,117.4375,2.1875,4,5,116.4375,117.4375,117.4375,117.4375,117.4375,117.4375,117.4375,1.625,3.4375,4.4375,115.875,116.875,116.875,116.875,116.875,116.875,116.875,1.125,2.0625,3.0625,114.5,115.5,115.5,115.5,115.5,115.5,115.5,0.625,1.5625,2.5625,112.9375,113.9375,113.9375,113.9375,113.9375,113.9375,113.9375,0.625,1.5625,2.5625,112.9375,113.9375,113.9375,113.9375,113.9375,113.9375,113.9375,1.5625,1.5625,2.5625,112.0625,112.0625,112.0625,112.0625,112.0625,112.0625,112.0625,1.5625,2.5625,2.5625,110.3125,110.3125,110.3125,110.3125,110.3125,110.3125,110.3125
2013,2.34146346,2.34146346,3.82926836,4.82926836,114.585366,117.5609758,117.5609758,117.5609758,117.5609758,117.5609758,2.73170736,2.73170736,5.21951226,6.21951226,115.9756099,117.9512197,117.9512197,117.9512197,117.9512197,117.9512197,2.73170736,3.26829276,5.21951226,6.21951226,116.9512197,117.9512197,117.9512197,117.9512197,117.9512197,117.9512197,1.31707315,1.85365855,3.80487805,4.80487805,115.1463415,116.1463415,116.1463415,116.1463415,116.1463415,116.1463415,0.90243905,1.43902445,2.43902445,3.43902445,113.292683,114.292683,114.292683,114.292683,114.292683,114.292683,1.43902445,1.43902445,2.43902445,3.43902445,111.7317074,112.7317074,112.7317074,112.7317074,112.7317074,112.7317074,1.43902445,1.43902445,2.43902445,3.43902445,111.0487806,112.0487806,112.0487806,112.0487806,112.0487806,112.0487806,1.43902445,2.43902445,2.43902445,3.43902445,110.0731708,110.0731708,110.0731708,110.0731708,110.0731708,110.0731708,1.43902445,2.43902445,3.43902445,3.43902445,109.0731708,109.0731708,109.0731708,109.0731708,109.0731708,109.0731708
2014,0.91666669,3.91666669,3.91666669,4.91666669,5.91666669,115.25,118.25,118.25,118.25,118.25,2.66666666,3.66666666,3.66666666,5.66666666,6.66666666,116,118,118,118,118,2.66666666,3.66666666,4.66666666,5.66666666,6.66666666,117,118,118,118,118,2.66666666,3.66666666,4.66666666,5.66666666,6.66666666,117,118,118,118,118,2.66666666,3.66666666,4.66666666,5.66666666,6.66666666,117,118,118,118,118,4.16666666,4.16666666,4.16666666,5.16666666,6.16666666,114.5833333,115.5833333,115.5833333,115.5833333,115.5833333,4.16666666,4.16666666,4.16666666,5.16666666,6.16666666,113.5833333,114.5833333,114.5833333,114.5833333,114.5833333,4.16666666,4.16666666,5.16666666,5.16666666,6.16666666,112.5833333,112.5833333,112.5833333,112.5833333,112.5833333,4.16666666,4.16666666,5.16666666,6.16666666,6.16666666,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333
2015,1.529411792,1.764705892,4.757352951,4.757352951,5.75000001,6.742647069,115.1101852,118.0587147,118.0587147,118.0587147,1.323529441,3.5514706,4.5514706,4.5514706,6.536764718,7.514705898,115.8528323,117.8528323,117.8528323,117.8528323,0.948529441,2.9411765,3.9411765,4.933823559,5.926470618,6.904411798,116.2425382,117.2425382,117.2425382,117.2425382,0.948529441,2.9411765,3.9411765,4.933823559,5.926470618,6.904411798,116.2425382,117.2425382,117.2425382,117.2425382,0.948529441,2.9411765,3.9411765,4.933823559,5.926470618,6.904411798,116.2425382,117.2425382,117.2425382,117.2425382,0.948529441,4.933823559,4.933823559,4.933823559,5.926470618,6.904411798,114.514597,115.514597,115.514597,115.514597,0.948529441,4.933823559,4.933823559,4.933823559,5.926470618,6.904411798,112.9116558,113.9116558,113.9116558,113.9116558,0.948529441,4.933823559,4.933823559,5.926470618,5.926470618,6.904411798,111.2940088,111.2940088,111.2940088,111.2940088,0.948529441,4.933823559,4.933823559,5.926470618,6.904411798,6.904411798,108.4557735,108.4557735,108.4557735,108.4557735
2016,0.025000003,3.91001397,4.11834727,7.101610576,7.101610576,8.101610576,9.101610576,115.9493672,118.9160339,118.9160339,2.13501397,3.901680637,6.101680604,7.093277243,7.093277243,9.093277243,10.09327724,116.9410339,118.9077006,118.9077006,2.29166667,3.283333337,5.275000004,6.266596643,7.266596643,8.266596643,9.266596643,116.60602,117.5976867,117.5976867,3.266666667,3.266666667,5.258333334,6.249929973,7.249929973,8.249929973,9.249929973,116.5893533,117.58102,117.58102,3.266666667,3.266666667,5.258333334,6.249929973,7.249929973,8.249929973,9.249929973,116.5893533,117.58102,117.58102,3.266666667,3.266666667,7.249929973,7.249929973,7.249929973,8.249929973,9.249929973,115.5893533,116.58102,116.58102,3.266666667,3.266666667,7.249929973,7.249929973,7.249929973,8.249929973,9.249929973,114.5976867,115.5893533,115.5893533,3.266666667,3.266666667,7.249929973,7.249929973,8.249929973,8.249929973,9.249929973,112.7993674,112.7993674,112.7993674,3.266666667,3.266666667,7.249929973,7.249929973,8.249929973,9.249929973,9.249929973,110.816034,110.816034,110.816034
